array,site,array_year,start_date,end_date,lat,long,easting_12n,northing_12n,buffer_dist,cfi,cfi_with_harvest,cfi_with_vegedges,harvest_0_10,harvest_0_15,harvest_10_20,harvest_10_25,harvest_20_30,harvest_30_40,harvest_gt_15,harvest_gt_25,harvest_gt_40,harvest_total,landfill,osm_industrial,pipe_trans,railways,roads,seismic_lines_3D,seismic_lines_conventional,seismic_total,trails,veg_edges,wells_active,wells_inactive,wells_total,pct_betu_pap,fire_0_10,fire_0_15,fire_10_20,fire_10_25,fire_20_30,fire_30_40,fire_gt_15,fire_gt_25,fire_gt_40,fire_total,pct_lari_lar,lc_broadleaf,lc_coniferous,lc_herbs,lc_mixedwood,lc_shrubs,lc_water,lc_wetland,lc_wetland_treed,pct_pice_gla,pct_pice_mar,pct_pinu_ban,pct_popu_tre,array_visit,ndvi,geometry
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,250,0.11538415595014252,0.12297401025455536,0.12297401025455536,0,0,0,0,0,0,0,0,0,0,0,0.04388803189027734,0.03037958715888238,0,0.0085264350104324,0,0,0,0,0.00758985430441285,0.01136538170837422,0.02122472018217619,0.03259010189055041,0,0,0,0,0,0,0,0,0,0,0,0.00174976893171749,0.8467509870034733,0.00780768101577655,0.04205539913671342,0.08352010165168872,7.626043534259162e-4,0,0.0030331166484673,0.01616841631927226,0,0.0026238064619849002,6.402833070563549e-4,0.9913083861959064,LU1_2022,0.7484895833333334,"c(525766.810798963, 6048787.65959327)"
LU1,LU1_11,2022,2022-06-17,2023-09-09,54.588892,-110.48226,533456.6812036387,6049168.492295013,250,0.18951800862124835,0.2531158023205454,0.2531158023205454,0,0,0,0,0,0,0,0,0,0,0,0,0.01406049219392939,0,0.03299767975268899,0,0,0,0,0.06359779369929706,0.14245983667462997,0,0.14245983667462997,0,0,0,0,0,0,0.00379114062710475,0.00379114062710475,0.00379114062710475,0,0.00379114062710475,0,0.17428675322996234,0.05892560204315603,0.1564048762517699,0.02992764709170313,2.8564236798301777e-4,0.273360267148975,0.11533897034079613,0.0992376527524459,0.00783997137655517,0.3234561548435969,0.04089476826649078,0.5551931592938874,LU1_2022,0.561675,"c(533456.681203639, 6049168.49229501)"
LU1,LU1_13,2022,2022-06-13,2023-09-10,54.60634,-110.72349,517860.66818018013,6051021.891309919,250,0.16128548321133607,0.19405632241026047,0.19405632241026047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03930689792453407,0.03930689792453407,0.00890495790296827,0.03277083919892441,0,0.11307362738383372,0.11307362738383372,0,0,0,0,0,0,0,0,0,0,0,0,0.7308116549566107,0.04379144355569793,0.07664817532267135,0.06616375180835943,3.0198435002505054e-4,0,0.06404822547785513,0.0182347645287804,0,0,0.03233814623287896,0.954631395144752,LU1_2022,0.73251875,"c(517860.66818018, 6051021.89130992)"
LU1,LU1_22,2022,2022-06-18,2023-09-09,54.65007,-110.48788,533043.9067839758,6055973.139892376,250,0.22944727038027496,0.27383327617793246,0.27383327617793246,0,0,0,0,0,0,0,0,0,0,0,0.08778815770420167,0.03940959299065293,0,0.02588916901925021,0,0.0058894177989482,0.0058894177989482,0.00307302764868805,0.04438600579765749,0.06739790521853391,0,0.06739790521853391,0,0,0,0,0,0,0,0,0,0,0,0.03202052744516191,0.046183040871574,0.18637494416678235,0.13775986127263104,0.02340263121666249,0,0,0.17009967107921764,0.31918382345909657,0,0.3116113539761605,0.095489886764876,0.48418852204174107,LU1_2022,0.6289687500000001,"c(533043.906783976, 6055973.13989238)"
LU1,LU1_25,2022,2022-06-17,2023-09-09,54.692400000000006,-110.549,529069.9948021881,6060656.239644214,250,0.20195848723875617,0.2594758126265042,0.2594758126265042,0,0,0,0,0,0,0,0,0,0,0,0.14452570916280036,0.02283578431851235,0,0.0272967510016348,0,0,0,0,0.05751732538774805,0.00730024275580866,0,0.00730024275580866,0,0,0,0,0,0,0,0,0,0,0,0.07519352637536944,0.15273929102542302,0.4274296296985752,0.1480104212107288,0.086184110506271,6.421644376353296e-5,0.02222878646616076,0.00390076277201964,0.04401205967892806,0,0.2829083422217709,0.2324737746734873,0.4094053804551932,LU1_2022,0.6283937500000001,"c(529069.994802188, 6060656.23964421)"
LU1,LU1_27,2022,2022-06-14,2023-09-10,54.69098,-110.7394,516798.0541118343,6060436.038469366,250,0.0934764641937545,0.12023534701567498,0.12023534701567498,0,0,0,0,0,0,0,0,0,0,0,0,0.02626588071308534,0,0.02146759144357844,0,0.01384689959805893,0.01384689959805893,0,0.02675888282192049,0,0.03189609243903178,0.03189609243903178,0,0,0,0,0,0,0,0,0,0,0,0,0.4129634284291606,0.23946182132049296,0.08430214850616939,0.05376721008436416,7.884195868116882e-4,0,0.0766316387505469,0.0875519904005717,0.02350098050535157,0.17646677558415608,0.06514152902546692,0.725914067912836,LU1_2022,0.63238125,"c(516798.054111834, 6060436.03846937)"
LU1,LU1_30,2022,2022-06-13,2023-09-10,54.73432,-110.82258,511424.15943137114,6065241.908204695,250,0.03882317097598901,0.0907579025912399,0.0907579025912399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02609710000551254,0,0.01272607097047647,0.01272607097047647,0,0.0519347316152509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00411235816806135,0.6177868028268305,0.1310738836697818,0.04420771948717678,0.07988060066967027,1.0945989180704975e-4,0.00221467992925498,0.04939628754804788,0.07542933804128023,0.03156381832169822,0.10437442062586882,0.02699838450035521,0.8169378348230526,LU1_2022,0.6635145833333334,"c(511424.159431371, 6065241.9082047)"
LU1,LU1_32,2022,2022-06-16,2023-09-09,54.74266,-110.54806,529094.5727078938,6066249.192262178,250,0.6227559443627646,0.6607967495726741,0.6607967495726741,0,0,0,0,0,0,0,0,0,0,0,0.5578580711567919,0.02682387629545408,0,0.03510682117894829,0,0.00147149314013409,0.00147149314013409,0,0.03804080520990953,0.00149568259143632,0,0.00149568259143632,0,0,0,0,0,0,0,0,0,0,0,0.02480329526648737,0.17355383762056242,0.19348238025758305,0.17351726506332557,0.0482215553772412,0.00640575935462622,0.00145422949197129,0.0324910731211547,0.12500397782572345,3.35857506407311e-4,0.26553663620840756,0.04723006665357937,0.6612867815341016,LU1_2022,0.6671,"c(529094.572707894, 6066249.19226218)"
LU1,LU1_36,2022,2022-06-16,2023-09-09,54.72431000000001,-110.53843,529727.9499859876,6064211.370486616,250,0.01855542389371063,0.01855542389371063,0.01855542389371063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116103868734729,0.01739438520636335,0.01855542389371063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07697661016065747,0.06240480379768134,0.4250884063058978,0.01651570696711146,0.03638646617512527,4.443008520712826e-4,0,0.02480990607628403,0.43431798450367104,0,0.6667208500010677,0.02705939884994678,0.22703821908159116,LU1_2022,0.711653125,"c(529727.949985988, 6064211.37048662)"
LU1,LU1_40,2022,2022-06-17,2023-08-24,54.58176,-110.57063,527751.0422112439,6048336.444604886,250,0.20658455762668915,0.2484373721360145,0.2484373721360145,0,0,0,0,0,0,0,0,0,0,0,0,0.03808016919041226,0,0.02163559887287263,0,0.01234523561595756,0.01234523561595756,0,0.04185281450932533,0.11647888313390296,0.01804467081354373,0.1345235539474467,0,0,0,0,0,0,0,0,0,0,0,0,0.6250665461010901,0.00366314572241576,0.2219295160041422,0.05499442321649491,5.692111548252365e-4,0,0.01168059673751443,0.07770402385678103,0,0,0,0.9872135479500584,LU1_2022,0.7315312500000001,"c(527751.042211244, 6048336.44460489)"
