array,site,buffer_dist,AIRP-RUNWAY,BORROWPIT-DRY,BORROWPIT-WET,BORROWPITS,CAMP-INDUSTRIAL,CAMPGROUND,CANAL,CLEARING-UNKNOWN,CLEARING-WELLPAD-UNCONFIRMED,CONVENTIONAL-SEISMIC,COUNTRY-RESIDENCE,CROP,CULTIVATION_ABANDONED,DUGOUT,FACILITY-OTHER,FACILITY-UNKNOWN,GREENSPACE,GRVL-SAND-PIT,HARVEST-AREA-1940,HARVEST-AREA-1950,HARVEST-AREA-1960,HARVEST-AREA-1963,HARVEST-AREA-1970,HARVEST-AREA-1971,HARVEST-AREA-1972,HARVEST-AREA-1973,HARVEST-AREA-1975,HARVEST-AREA-1976,HARVEST-AREA-1977,HARVEST-AREA-1978,HARVEST-AREA-1979,HARVEST-AREA-1980,HARVEST-AREA-1982,HARVEST-AREA-1984,HARVEST-AREA-1985,HARVEST-AREA-1986,HARVEST-AREA-1987,HARVEST-AREA-1988,HARVEST-AREA-1989,HARVEST-AREA-1990,HARVEST-AREA-1991,HARVEST-AREA-1993,HARVEST-AREA-1994,HARVEST-AREA-1995,HARVEST-AREA-1996,HARVEST-AREA-1997,HARVEST-AREA-1998,HARVEST-AREA-1999,HARVEST-AREA-2000,HARVEST-AREA-2001,HARVEST-AREA-2002,HARVEST-AREA-2003,HARVEST-AREA-2004,HARVEST-AREA-2005,HARVEST-AREA-2006,HARVEST-AREA-2007,HARVEST-AREA-2008,HARVEST-AREA-2010,HARVEST-AREA-2011,HARVEST-AREA-2012,HARVEST-AREA-2013,HARVEST-AREA-2014,HARVEST-AREA-2015,HARVEST-AREA-2016,HARVEST-AREA-2017,HARVEST-AREA-2019,HARVEST-AREA-2020,HARVEST-AREA-2021,HARVEST-AREA-WHITE-ZONE-1988,HARVEST-AREA-WHITE-ZONE-1990,HARVEST-AREA-WHITE-ZONE-1994,HARVEST-AREA-WHITE-ZONE-1996,HARVEST-AREA-WHITE-ZONE-1997,HARVEST-AREA-WHITE-ZONE-2002,HARVEST-AREA-WHITE-ZONE-2003,HARVEST-AREA-WHITE-ZONE-2004,HARVEST-AREA-WHITE-ZONE-2005,HARVEST-AREA-WHITE-ZONE-2006,LAGOON,LANDFILL,LOW-IMPACT-SEISMIC,MISC-OIL-GAS-FACILITY,OIL-GAS-PLANT,OPEN-PIT-MINE,PIPELINE,RECREATION,RESIDENCE_CLEARING,RLWY-SGL-TRACK,RLWY-SPUR,ROAD-GRAVEL-1L,ROAD-GRAVEL-2L,ROAD-PAVED-UNDIV-1L,ROAD-PAVED-UNDIV-2L,ROAD-UNCLASSIFIED,ROAD-UNIMPROVED,ROUGH_PASTURE,RUNWAY,RURAL-RESIDENCE,SUMP,SURROUNDING-VEG,TAME_PASTURE,TRAIL,TRANSFER_STATION,TRANSMISSION-LINE,TRUCK-TRAIL,URBAN-INDUSTRIAL,URBAN-RESIDENCE,VEGETATED-EDGE-RAILWAYS,VEGETATED-EDGE-ROADS,WELL-ABAND,WELL-BITUMEN,WELL-CASED,WELL-GAS,WELL-OTHER,WELL-UNKNOWN,WELL_CLEARED_NOT_CONFIRMED,WELL_CLEARED_NOT_DRILLED
LU3,LU3_36,4750,0,5.722958407264118e-4,6.522555784422763e-4,0,0.007153667498152622,0,0,0.006056574741759366,2.3763771905745403e-4,0.005083083742985111,0,0,0,0,0,0.0018944211449927434,0,0.004766084348971095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.042531808347117e-4,0,0,0.001399841609566554,0.01658125764648686,6.57994925614906e-4,0,2.8963202985783035e-4,7.356120603711467e-4,0.0030952077258913817,0.006600050544013631,0,0,0,0,0,0,0,0,0,0,0.004261338870721888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016900118255667597,0.0032191143857215835,0.00707999352450526,5.721739523821991e-4,0.023458013229188817,0,0,0,0,0.0011279944988743253,0,1.7074149743051128e-4,0.001203996207265427,0,0.003713555736492579,0,0,0,0.0013787998996865264,0,0,3.871970951046516e-4,0,0,5.69540757589835e-4,0,0,0,0.006668092550407342,0.012619532169348626,0.003985674624462287,0.0011880670563761658,0.001607981754108518,6.573631911688557e-4,0,0,0
LU3,LU3_36,5000,0,5.417092719100905e-4,5.926918237904817e-4,0,0.006456184917082633,0,0,0.005466058704437737,3.691039521363567e-4,0.005149485984497462,0,0,0,0,0,0.0017097150833559223,0,0.004301391124946341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.988368967459727e-4,0,0,0.0012633570526337937,0.015381543753252253,5.938404203674427e-4,0,5.158928529449477e-4,6.638898844849488e-4,0.0029357362785803406,0.006954169494755849,0,0,0,0,0,0,0,0,0,0,0.0038458583308264393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017040957551791115,0.0029052507331136803,0.00638969415586589,5.400884289740206e-4,0.02219361867117923,0,0,0,0,0.0010602680617573489,0,1.9336493813288825e-4,0.0012198246995668688,0,0.0034686970197970813,0,0,0,0.0021757493984681303,0,0,3.7501756040435135e-4,0,0,5.228932574353123e-4,0,0,0,0.006386386961967122,0.01260359370761051,0.003597071348577154,0.0012513044201854205,0.001858260266174234,5.932702800298823e-4,0,7.592275441953017e-5,0
LU3,LU3_36,10000,0,7.602169702159877e-4,8.523857220747222e-4,2.3327586866322871e-4,0.0016140462292706778,0,0,0.0018963340982146586,3.5767173232664095e-4,0.0062519488886316945,0,0,0,0,0,5.535174664828366e-4,0,0.0031841887709853425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.970922418649438e-5,1.7141634197384976e-4,0,3.1583926315845217e-4,0.0067192108744645075,0.0014297006474380616,3.950075048087577e-4,0.0012099197660915993,1.6597247112123918e-4,0.008070273762701266,0.005108093239317046,0,0,0,0,0,0,0,0,0,0,9.614645827066213e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012231459581877331,0.0014306248866725237,0.0015974235389664916,1.3502210724350674e-4,0.013098259219208479,0,0,6.709153478338795e-4,1.3583363195581266e-5,6.02155424940698e-4,0,1.28975481562267e-4,0.001110996188091786,0,0.0012153826063671144,0,1.38574523965107e-4,0,5.439373496170391e-4,9.168325276314833e-4,0,7.081791707118445e-4,0,0.0020497220181714343,2.9287470087542783e-4,0,0,0.0013440334571707317,0.0036621527734258742,0.006059781029069403,9.365775225466829e-4,7.483107673227288e-4,0.0016479069706502765,2.6222049135318917e-4,0,1.898068860488277e-5,0
LU3,LU3_38,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06881190631352868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_38,100,0,0,0.020281078833018464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04990421458298009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU3,LU3_38,200,0,0,0.10368151835460088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029035835255154675,0,0,0,0,0,0,0,0,0.014387155251173097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02515669475255839,0.004306006388347727,0,0,0,0,0,0.004175053934090649,0
LU3,LU3_38,250,0,0,0.1038525606801891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020696441223674707,0,0,0,0,0,0,0,0,0.017863975181041585,0,0,0,0,0.031216968203165586,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03206002914252228,0.02384311345029299,0,0,0,0,0,0.04688352549701687,0
LU3,LU3_38,300,0,0,0.07739228121484515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017842507019182458,0,0,0,0,0,0,0,0,0.017079866919258502,0,0,0,0,0.03602184981973942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029737627355248767,0.017126850717511733,0,0,0,0,0,0.08130910852903966,0
LU3,LU3_38,400,0,0,0.04353315818335795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01500532346724082,0,0,0,0,0,0,0,0,0.014248925979148121,0,0,0,0,0.02812535900354655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02509267702748818,0.030846259819724234,0,0,0,0,0,0.09434991257962963,0
LU3,LU3_38,500,0,0,0.027861221237342554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016395021548352023,0,0,0,0,0,0,0,0,0.011895961712976723,0,0,0,0,0.022411541021325112,0,0,0,0,0,0,0.0014265778988386492,0,0,0,0,0,0,0.024463604207947073,0.026341702232043126,0,0,0,0,0,0.06130981632672684,0
