array,site,buffer_dist,AGE_0_10,AGE_10_20,AGE_20_30,AGE_30_40,AGE_40_50,AGE_50_60,AGE_60_70,AGE_70_80,AGE_80_90,AGE_90_100,AGE_100_110,AGE_110_120,AGE_120_130,AGE_130_140,AGE_140_150,AGE_GT_150,LC_WATER,LC_SNOW_ICE,LC_ROCK_RUBBLE,LC_EXPOSED_BARREN,LC_BRYOIDS,LC_SHRUBS,LC_WETLAND,LC_WETLAND_TREED,LC_HERBS,LC_CONIFEROUS,LC_BROADLEAF,LC_MIXEDWOOD,PINU.BAN_PCT_OF_TREED,PICE.MAR_PCT_OF_TREED,POPU.TRE_PCT_OF_TREED,LARI.LAR_PCT_OF_TREED,PICE.GLA_PCT_OF_TREED,BETU.PAP_PCT_OF_TREED,FIRE_PCT_1985,FIRE_PCT_1986,FIRE_PCT_1987,FIRE_PCT_1988,FIRE_PCT_1989,FIRE_PCT_1990,FIRE_PCT_1991,FIRE_PCT_1992,FIRE_PCT_1993,FIRE_PCT_1994,FIRE_PCT_1995,FIRE_PCT_1996,FIRE_PCT_1997,FIRE_PCT_1998,FIRE_PCT_1999,FIRE_PCT_2000,FIRE_PCT_2001,FIRE_PCT_2002,FIRE_PCT_2003,FIRE_PCT_2004,FIRE_PCT_2005,FIRE_PCT_2006,FIRE_PCT_2007,FIRE_PCT_2008,FIRE_PCT_2009,FIRE_PCT_2010,FIRE_PCT_2011,FIRE_PCT_2012,FIRE_PCT_2013,FIRE_PCT_2014,FIRE_PCT_2015,FIRE_PCT_2016,FIRE_PCT_2017,FIRE_PCT_2018,FIRE_PCT_2019,FIRE_PCT_2020,HARVEST_PCT_1985,HARVEST_PCT_1986,HARVEST_PCT_1987,HARVEST_PCT_1988,HARVEST_PCT_1989,HARVEST_PCT_1990,HARVEST_PCT_1991,HARVEST_PCT_1992,HARVEST_PCT_1993,HARVEST_PCT_1994,HARVEST_PCT_1995,HARVEST_PCT_1996,HARVEST_PCT_1997,HARVEST_PCT_1998,HARVEST_PCT_1999,HARVEST_PCT_2000,HARVEST_PCT_2001,HARVEST_PCT_2002,HARVEST_PCT_2003,HARVEST_PCT_2004,HARVEST_PCT_2005,HARVEST_PCT_2006,HARVEST_PCT_2007,HARVEST_PCT_2008,HARVEST_PCT_2009,HARVEST_PCT_2010,HARVEST_PCT_2011,HARVEST_PCT_2012,HARVEST_PCT_2013,HARVEST_PCT_2014,HARVEST_PCT_2015,HARVEST_PCT_2016,HARVEST_PCT_2017,HARVEST_PCT_2018,HARVEST_PCT_2019,HARVEST_PCT_2020,long,lat
LU2,LU2_3,50,0,0,0,0,0.0326,0.2289,0.2148,0.1593,0.2341,0.0667,0.011899999999999999,0.0096,0.013300000000000001,0.003,0.0104,0.015600000000000001,0,0,0,0,0,0,0,0.033,0.0088,0.4376,0.4325,0.08810000000000001,0,0.1081,0.8,0,0.0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,100,0,0,0,0,0.03273464436304707,0.2290571136771352,0.21487872836004918,0.15910978267691822,0.23390120660283878,0.0666955404414787,0.011926071265201472,0.009612864111119147,0.013286964367399266,0.003016809105195686,0.010384563066657023,0.015595197398515519,0,0,0,0,0,0,4.802601484481729e-6,0.03342382958100552,0.008792110011846923,0.43795076142984873,0.4318308947003227,0.08799743015401001,0,0.10928041083629297,0.7989600652571281,0,0.09094374393027276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,200,0,0,0,0,0.043209610050738076,0.2412801309636638,0.2210035809086481,0.14431139166080442,0.21843562031999306,0.0663485989027781,0.01395434487606648,0.010613657011217014,0.01227282756196676,0.0043245118279902324,0.009183611586539582,0.015221568049145649,0,0,0,0,0,0,3.784319508543521e-4,0.06639661966289656,0.008178290366453565,0.4652390478391839,0.379776319989899,0.08001777476389635,0,0.20111316734927323,0.7180559672132166,0,0.07878744617041733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,300,0,0,0,0,0.04748891518181446,0.24627356217393886,0.22350574785790167,0.13826585103613726,0.21211751248952487,0.06620686395576156,0.014782949181701652,0.011022507819918578,0.011858525409149175,0.004858743551360277,0.008692990616097704,0.015068930413897064,0,0,0,0,0,0,5.310695861029363e-4,0.07986689097358413,0.007927528537116604,0.47638704655644654,0.3585106265933016,0.07675787098251588,0,0.2386293175557288,0.6850044678377821,0,0.07382127168072232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,400,0,0,0,1.851430003767527e-4,0.05673847571546937,0.2559092280565373,0.2249894334406215,0.13197113295237806,0.19594232328359362,0.06821281180472345,0.017128880971719853,0.010983966086901465,0.01072750289347244,0.0051725772527633504,0.007635929723468743,0.014530131123094992,0,0,0,0,0,0,9.87509838234598e-4,0.09078469207717257,0.006909003626008843,0.5021158911506247,0.32951115517626955,0.06966564461154982,0,0.3015309167446586,0.6324295998546304,0,0.062541825405861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.623535309630994e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,250,0,0,0,0,0.045404542310452795,0.24384135128200604,0.22228698715986986,0.1412105255766979,0.21519494963335692,0.0662759005094627,0.014379350867756465,0.010823363915011415,0.012060324566121767,0.004598528848948248,0.008931963301986302,0.015143277471729073,0,0,0,0,0,0,4.5672252827092815e-4,0.07330576311990941,0.008049670132126333,0.47095705608264454,0.3688687649005396,0.07834571171764233,0,0.2203558728414474,0.7011032611104773,0,0.07624020631232802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,500,0,0.0054082152812335894,0,5.348109556943267e-4,0.06607577973931598,0.26590701349151574,0.2243008687752937,0.12402160163184177,0.17546943344656843,0.07150737729656459,0.02069760196880123,0.01065436181092693,0.00953066038656689,0.005134397351273949,0.0064934454711677286,0.014381796297508069,0,0,0,0,0,0,0.0013181979125607268,0.096031235348964,0.005826100874576256,0.5450205531564075,0.29197992360226116,0.05978813786466438,0,0.3871133716787229,0.5593679536005209,0,0.048959354893039146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075148147129305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,750,0,0.04077274342555852,0,9.763563681780805e-4,0.07323035099852937,0.2655301814084408,0.21473043371214426,0.10694160477813659,0.1567003347850439,0.07250183709525544,0.024531423919427617,0.010543961116913579,0.008702714965140345,0.004616229770297554,0.0055140374973835175,0.014810478506066623,0,0,0,0,0,0,0.0010664024792483525,0.09348241682631588,0.011208139955912388,0.5839600091463604,0.2645383016130401,0.045695792793829196,3.12144657669735e-4,0.4788225193747617,0.48122915582692166,0,0.03433447553411097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055398965423194564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,1000,0,0.0738871297108557,0,9.58185109895388e-4,0.07544851790677924,0.2555258195985788,0.20187888455462635,0.10001461239872166,0.15842667409955463,0.06775193869479629,0.02385772291454847,0.010477858020191565,0.008120677442259134,0.003990873962194412,0.005407594465052121,0.014343041144352045,0,0,0,0,0,2.7185442074837408e-6,0.00638842183866258,0.0794600289401643,0.02541524793174828,0.5492273557710986,0.2995983976549622,0.03986090256919465,0.004062383979990142,0.44897403215133647,0.5101073931065551,0,0.032003573780691956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024548454193578178,0.09256934205858802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
LU2,LU2_3,1250,0,0.11553576531541034,0,8.248196509574129e-4,0.07989223599564056,0.24136388713489956,0.18462907165970957,0.0889288136463165,0.1619940138544577,0.060958919404483766,0.023735643209577245,0.01137599249153792,0.007660898663002101,0.0035223444898638467,0.005117028739983547,0.014524868058858397,9.72921779764099e-4,0,0,0,0,3.2457215857345654e-5,0.016257063737533738,0.06787834947454148,0.04209361833573526,0.4978801206449836,0.3394697534712393,0.03538302639660529,0.014517176963189285,0.4047722162628959,0.5452679992785155,0,0.03097562466388753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029308865919183122,0.11698601811792438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1148897,0.5487192000000001
