array,site,start_date,end_date,camera_failure_details
LU13,LU13_18,9/18/2022,9/27/2023,
LU13,LU13_15,9/18/2022,9/27/2023,
LU13,LU13_03,9/18/2022,9/27/2023,
LU13,LU13_34,9/18/2022,9/27/2023,
LU13,LU13_57,9/18/2022,9/24/2023,
LU13,LU13_16,9/18/2022,9/27/2023,
LU13,LU13_21,9/18/2022,9/27/2023,
LU13,LU13_37,9/18/2022,9/27/2023,
LU13,LU13_55,9/18/2022,9/27/2023,
LU13,LU13_47,9/18/2022,9/24/2023,
LU13,LU13_51,9/16/2022,9/24/2023,
LU13,LU13_27,9/16/2022,9/24/2023,
LU13,LU13_05,9/16/2022,9/23/2023,
LU13,LU13_26,9/16/2022,9/24/2023,
LU13,LU13_35,9/16/2022,9/26/2023,
LU13,LU13_13,9/16/2022,9/24/2023,
LU13,LU13_128,9/16/2022,9/24/2023,
LU13,LU13_131,9/16/2022,9/24/2023,
LU13,LU13_12,9/16/2022,9/24/2023,
LU13,LU13_33,9/16/2022,9/24/2023,
LU13,LU13_32,9/16/2022,9/24/2023,
LU13,LU13_30,9/16/2022,9/24/2023,
LU13,LU13_53,9/15/2022,9/24/2023,
LU13,LU13_22,9/15/2022,9/24/2023,
LU13,LU13_19,9/15/2022,9/24/2023,
LU13,LU13_45,9/15/2022,9/24/2023,
LU13,LU13_08,9/15/2022,9/24/2023,
LU13,LU13_43,9/15/2022,9/24/2023,
LU13,LU13_41,9/15/2022,9/24/2023,
LU13,LU13_59,9/15/2022,9/24/2023,
LU13,LU13_06,9/15/2022,9/24/2023,
LU13,LU13_14,9/15/2022,9/24/2023,
LU13,LU13_52,9/15/2022,9/27/2023,
LU13,LU13_36,9/15/2022,9/27/2023,
LU13,LU13_38,9/15/2022,9/27/2023,
LU13,LU13_20,9/14/2022,9/24/2023,
LU13,LU13_17,9/15/2022,9/24/2023,
LU13,LU13_56,9/15/2022,9/24/2023,
LU13,LU13_49,9/15/2022,9/24/2023,
LU13,LU13_70,9/15/2022,9/24/2023,
LU13,LU13_11,9/15/2022,9/24/2023,
LU15,LU15_44,9/13/2022,9/12/2023,
LU15,LU15_11,9/13/2022,9/12/2023,
LU15,LU15_19,9/13/2022,9/11/2023,
LU15,LU15_07,9/13/2022,9/12/2023,
LU15,LU15_34,9/13/2022,9/12/2023,
LU15,LU15_37,9/13/2022,9/12/2023,
LU15,LU15_18,9/13/2022,9/12/2023,
LU15,LU15_43,9/13/2022,9/12/2023,
LU15,LU15_10,9/13/2022,9/12/2023,
LU15,LU15_58,9/13/2022,9/12/2023,
LU15,LU15_08,9/13/2022,9/12/2023,
LU15,LU15_12,9/13/2022,11/17/2022,
LU15,LU15_17,9/13/2022,9/12/2023,
LU15,LU15_01,9/13/2022,9/13/2023,
LU15,LU15_26,9/13/2022,9/13/2023,
LU15,LU15_27,9/13/2022,9/13/2023,
LU15,LU15_28,9/13/2022,9/13/2023,
LU15,LU15_02,9/13/2022,9/13/2023,
LU15,LU15_29,9/13/2022,9/13/2023,
LU15,LU15_30,9/13/2022,9/13/2023,
LU15,LU15_31,9/13/2022,9/13/2023,
LU15,LU15_32,9/13/2022,9/13/2023,
LU15,LU15_20,9/13/2022,9/12/2023,
LU15,LU15_21,9/13/2022,9/12/2023,
LU15,LU15_23,9/12/2022,9/12/2023,
LU15,LU15_41,9/12/2022,9/12/2023,
LU15,LU15_25,9/12/2022,9/12/2023,
LU15,LU15_09,9/12/2022,9/12/2023,
LU15,LU15_24,9/12/2022,9/12/2023,
LU15,LU15_46,9/12/2022,9/12/2023,
LU15,LU15_40,9/12/2022,9/12/2023,
LU15,LU15_16,9/12/2022,9/12/2023,
LU15,LU15_04,9/12/2022,9/12/2023,
LU15,LU15_36,9/12/2022,9/12/2023,
LU15,LU15_03,9/12/2022,9/12/2023,
LU15,LU15_15,9/12/2022,9/12/2023,
LU15,LU15_14,9/12/2022,9/12/2023,
LU15,LU15_22,9/11/2022,9/14/2023,
LU15,LU15_61,9/11/2022,9/14/2023,
LU21,LU21_106,9/20/2022,9/25/2023,
LU21,LU21_10,9/20/2022,9/25/2023,
LU21,LU21_16,9/20/2022,9/25/2023,
LU21,LU21_107,9/20/2022,9/25/2023,
LU21,LU21_41,9/20/2022,9/25/2023,
LU21,LU21_63,9/20/2022,6/7/2023,
LU21,LU21_27,9/20/2022,9/25/2023,
LU21,LU21_23,9/20/2022,9/25/2023,
LU21,LU21_21,9/20/2022,9/25/2023,
LU21,LU21_82,9/20/2022,9/25/2023,
LU21,LU21_871,9/20/2022,9/25/2023,
LU21,LU21_164,9/20/2022,9/25/2023,
LU21,LU21_36,9/20/2022,9/25/2023,
LU21,LU21_14,9/20/2022,9/25/2023,
LU21,LU21_32,9/20/2022,9/25/2023,
LU21,LU21_126,9/20/2022,9/25/2023,
LU21,LU21_122,9/20/2022,9/25/2023,
LU21,LU21_56,9/20/2022,9/25/2023,
LU21,LU21_57,9/20/2022,9/25/2023,
LU21,LU21_09,9/20/2022,9/25/2023,
LU21,LU21_98,9/20/2022,9/25/2023,
LU21,LU21_119,9/20/2022,10/2/2023,
LU21,LU21_52,9/20/2022,9/25/2023,
LU21,LU21_59,9/17/2022,10/2/2023,
LU21,LU21_68,9/17/2022,10/2/2023,
LU21,LU21_109,9/17/2022,9/25/2023,
LU21,LU21_93,9/17/2022,10/2/2023,
LU21,LU21_114,9/17/2022,10/2/2023,
LU21,LU21_105,9/17/2022,10/2/2023,
LU21,LU21_100,9/17/2022,9/25/2023,
LU21,LU21_74,9/17/2022,9/25/2023,
LU21,LU21_78,9/17/2022,10/2/2023,
LU21,LU21_153,9/17/2022,10/2/2023,
LU21,LU21_06,9/17/2022,10/2/2023,
LU21,LU21_116,9/17/2022,10/2/2023,
LU21,LU21_97,9/17/2022,10/2/2023,
LU01,LU01_06,6/17/2022,9/10/2023,
LU01,LU01_10,6/17/2022,12/5/2022,
LU01,LU01_11,6/17/2022,9/9/2023,
LU01,LU01_13,6/13/2022,9/10/2023,
LU01,LU01_22,6/18/2022,9/9/2023,
LU01,LU01_25,6/17/2022,9/9/2023,
LU01,LU01_27,6/14/2022,9/10/2023,
LU01,LU01_30,6/13/2022,9/10/2023,
LU01,LU01_32,6/16/2022,9/9/2023,
LU01,LU01_36,6/16/2022,9/9/2023,
LU01,LU01_40,6/17/2022,8/24/2023,
LU01,LU01_41,6/15/2022,9/10/2023,
LU01,LU01_43,6/18/2022,9/9/2023,
LU01,LU01_44,6/15/2022,9/9/2023,
LU01,LU01_45,6/17/2022,9/9/2023,
LU01,LU01_46,6/18/2022,9/9/2023,
LU01,LU01_47,6/15/2022,9/9/2023,
LU01,LU01_48,6/17/2022,9/9/2023,
LU01,LU01_60,6/18/2022,9/9/2023,
LU01,LU01_63,6/16/2022,12/5/2022,
LU01,LU01_64,6/16/2022,9/9/2023,
LU01,LU01_66,6/14/2022,9/10/2023,
LU01,LU01_67,6/16/2022,9/9/2023,
LU01,LU01_70,6/17/2022,4/11/2023,
LU01,LU01_71,6/18/2022,9/9/2023,
LU01,LU01_72,6/16/2022,9/22/2022,
LU01,LU01_73,6/14/2022,9/10/2023,
LU01,LU01_74,6/15/2022,9/10/2023,
LU01,LU01_75,6/14/2022,9/10/2023,
LU01,LU01_76,6/14/2022,12/26/2022,
LU01,LU01_77,6/16/2022,9/22/2022,
LU01,LU01_78,6/18/2022,9/9/2023,
LU01,LU01_79,6/16/2022,9/9/2023,
LU01,LU01_80,6/17/2022,9/9/2023,
LU01,LU01_82,6/15/2022,9/10/2023,
LU01,LU01_83,6/17/2022,9/9/2023,
LU01,LU01_84,6/16/2022,9/9/2023,
LU01,LU01_85,6/13/2022,5/25/2023,
LU01,LU01_86,6/16/2022,7/27/2023,
