array,site,array_visit,buffer_dist,AGE_0_10,AGE_10_20,AGE_20_30,AGE_30_40,AGE_40_50,AGE_50_60,AGE_60_70,AGE_70_80,AGE_80_90,AGE_90_100,AGE_100_110,AGE_110_120,AGE_120_130,AGE_130_140,AGE_140_150,AGE_GT_150,LC_WATER,LC_SNOW_ICE,LC_ROCK_RUBBLE,LC_EXPOSED_BARREN,LC_BRYOIDS,LC_SHRUBS,LC_WETLAND,LC_WETLAND_TREED,LC_HERBS,LC_CONIFEROUS,LC_BROADLEAF,LC_MIXEDWOOD,PINU.BAN_PCT_OF_TREED,PICE.MAR_PCT_OF_TREED,POPU.TRE_PCT_OF_TREED,LARI.LAR_PCT_OF_TREED,PICE.GLA_PCT_OF_TREED,BETU.PAP_PCT_OF_TREED,FIRE_PCT_1985,FIRE_PCT_1986,FIRE_PCT_1987,FIRE_PCT_1988,FIRE_PCT_1989,FIRE_PCT_1990,FIRE_PCT_1991,FIRE_PCT_1992,FIRE_PCT_1993,FIRE_PCT_1994,FIRE_PCT_1995,FIRE_PCT_1996,FIRE_PCT_1997,FIRE_PCT_1998,FIRE_PCT_1999,FIRE_PCT_2000,FIRE_PCT_2001,FIRE_PCT_2002,FIRE_PCT_2003,FIRE_PCT_2004,FIRE_PCT_2005,FIRE_PCT_2006,FIRE_PCT_2007,FIRE_PCT_2008,FIRE_PCT_2009,FIRE_PCT_2010,FIRE_PCT_2011,FIRE_PCT_2012,FIRE_PCT_2013,FIRE_PCT_2014,FIRE_PCT_2015,FIRE_PCT_2016,FIRE_PCT_2017,FIRE_PCT_2018,FIRE_PCT_2019,FIRE_PCT_2020,HARVEST_PCT_1985,HARVEST_PCT_1986,HARVEST_PCT_1987,HARVEST_PCT_1988,HARVEST_PCT_1989,HARVEST_PCT_1990,HARVEST_PCT_1991,HARVEST_PCT_1992,HARVEST_PCT_1993,HARVEST_PCT_1994,HARVEST_PCT_1995,HARVEST_PCT_1996,HARVEST_PCT_1997,HARVEST_PCT_1998,HARVEST_PCT_1999,HARVEST_PCT_2000,HARVEST_PCT_2001,HARVEST_PCT_2002,HARVEST_PCT_2003,HARVEST_PCT_2004,HARVEST_PCT_2005,HARVEST_PCT_2006,HARVEST_PCT_2007,HARVEST_PCT_2008,HARVEST_PCT_2009,HARVEST_PCT_2010,HARVEST_PCT_2011,HARVEST_PCT_2012,HARVEST_PCT_2013,HARVEST_PCT_2014,HARVEST_PCT_2015,HARVEST_PCT_2016,HARVEST_PCT_2017,HARVEST_PCT_2018,HARVEST_PCT_2019,HARVEST_PCT_2020
LU2,LU2_3,LU2_2021,50,0,0,0,0,0.0326,0.2289,0.2148,0.1593,0.2341,0.0667,0.01189999999999999,0.0096,0.0133,0.003,0.0104,0.0156,0,0,0,0,0,0,0,0.033,0.0088,0.4376,0.4325,0.08810000000000001,0,0.1081,0.8,0,0.0911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,100,0,0,0,0,0.03273464436304707,0.2290571136771352,0.2148787283600492,0.15910978267691822,0.2339012066028388,0.0666955404414787,0.01192607126520147,0.00961286411111914,0.01328696436739926,0.00301680910519568,0.01038456306665702,0.01559519739851551,0,0,0,0,0,0,4.802601484481729e-6,0.03342382958100552,0.00879211001184692,0.43795076142984873,0.4318308947003227,0.08799743015401001,0,0.10928041083629296,0.7989600652571281,0,0.09094374393027276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,200,0,0,0,0,0.04320961005073807,0.2412801309636638,0.2210035809086481,0.14431139166080442,0.21843562031999303,0.0663485989027781,0.01395434487606648,0.01061365701121701,0.01227282756196676,0.00432451182799023,0.00918361158653958,0.01522156804914564,0,0,0,0,0,0,3.784319508543521e-4,0.06639661966289656,0.00817829036645356,0.4652390478391839,0.379776319989899,0.08001777476389635,0,0.20111316734927323,0.7180559672132166,0,0.07878744617041733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,300,0,0,0,0,0.04748891518181446,0.2462735621739389,0.22350574785790167,0.13826585103613726,0.21211751248952487,0.06620686395576156,0.01478294918170165,0.01102250781991857,0.01185852540914917,0.00485874355136027,0.0086929906160977,0.01506893041389706,0,0,0,0,0,0,5.310695861029363e-4,0.07986689097358413,0.0079275285371166,0.47638704655644654,0.3585106265933016,0.07675787098251588,0,0.2386293175557288,0.6850044678377821,0,0.07382127168072232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,400,0,0,0,1.851430003767527e-4,0.05673847571546937,0.2559092280565373,0.2249894334406215,0.13197113295237806,0.1959423232835936,0.06821281180472345,0.01712888097171985,0.01098396608690146,0.01072750289347244,0.0051725772527633504,0.00763592972346874,0.01453013112309499,0,0,0,0,0,0,9.87509838234598e-4,0.09078469207717256,0.00690900362600884,0.5021158911506247,0.32951115517626955,0.06966564461154982,0,0.3015309167446586,0.6324295998546304,0,0.062541825405861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.623535309630994e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,250,0,0,0,0,0.04540454231045279,0.24384135128200604,0.22228698715986983,0.1412105255766979,0.21519494963335692,0.0662759005094627,0.01437935086775646,0.01082336391501141,0.01206032456612176,0.00459852884894824,0.0089319633019863,0.01514327747172907,0,0,0,0,0,0,4.5672252827092815e-4,0.07330576311990941,0.00804967013212633,0.47095705608264454,0.3688687649005396,0.07834571171764233,0,0.2203558728414474,0.7011032611104773,0,0.07624020631232802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,500,0,0.00540821528123358,0,5.348109556943267e-4,0.06607577973931598,0.26590701349151574,0.2243008687752937,0.12402160163184175,0.17546943344656843,0.07150737729656459,0.02069760196880123,0.01065436181092693,0.00953066038656689,0.00513439735127394,0.00649344547116772,0.01438179629750806,0,0,0,0,0,0,0.00131819791256072,0.096031235348964,0.00582610087457625,0.5450205531564075,0.29197992360226116,0.05978813786466438,0,0.3871133716787229,0.5593679536005209,0,0.04895935489303914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075148147129305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,750,0,0.04077274342555852,0,9.763563681780804e-4,0.07323035099852937,0.2655301814084408,0.21473043371214423,0.1069416047781366,0.1567003347850439,0.07250183709525544,0.02453142391942761,0.01054396111691357,0.00870271496514034,0.00461622977029755,0.00551403749738351,0.01481047850606662,0,0,0,0,0,0,0.00106640247924835,0.09348241682631588,0.01120813995591238,0.5839600091463604,0.2645383016130401,0.04569579279382919,3.12144657669735e-4,0.4788225193747617,0.48122915582692166,0,0.03433447553411097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05539896542319456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,1000,0,0.0738871297108557,0,9.58185109895388e-4,0.07544851790677924,0.2555258195985788,0.20187888455462635,0.10001461239872166,0.15842667409955463,0.06775193869479629,0.02385772291454847,0.01047785802019156,0.00812067744225913,0.00399087396219441,0.00540759446505212,0.01434304114435204,0,0,0,0,0,2.7185442074837408e-6,0.00638842183866258,0.0794600289401643,0.02541524793174828,0.5492273557710986,0.2995983976549622,0.03986090256919465,0.00406238397999014,0.44897403215133647,0.5101073931065551,0,0.03200357378069195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00245484541935781,0.09256934205858802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU2,LU2_3,LU2_2021,1250,0,0.11553576531541034,0,8.248196509574129e-4,0.07989223599564056,0.24136388713489956,0.18462907165970957,0.0889288136463165,0.1619940138544577,0.06095891940448376,0.02373564320957724,0.01137599249153792,0.0076608986630021,0.00352234448986384,0.00511702873998354,0.01452486805885839,9.72921779764099e-4,0,0,0,0,3.2457215857345654e-5,0.01625706373753373,0.06787834947454148,0.04209361833573526,0.4978801206449836,0.3394697534712393,0.03538302639660529,0.01451717696318928,0.4047722162628959,0.5452679992785155,0,0.03097562466388753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02930886591918312,0.11698601811792438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
