array,site,array_year,start_date,end_date,lat,long,easting_12n,northing_12n,buffer_dist,cfi,cfi_with_harvest,cfi_with_vegedges,harvest_0_10,harvest_0_15,harvest_10_20,harvest_10_25,harvest_20_30,harvest_30_40,harvest_gt_15,harvest_gt_25,harvest_gt_40,harvest_total,landfill,osm_industrial,pipe_trans,railways,roads,seismic_lines_3D,seismic_lines_conventional,seismic_total,trails,veg_edges,wells_active,wells_inactive,wells_total,pct_betu_pap,fire_0_10,fire_0_15,fire_10_20,fire_10_25,fire_20_30,fire_30_40,fire_gt_15,fire_gt_25,fire_gt_40,fire_total,pct_lari_lar,lc_broadleaf,lc_coniferous,lc_herbs,lc_mixedwood,lc_shrubs,lc_water,lc_wetland,lc_wetland_treed,pct_pice_gla,pct_pice_mar,pct_pinu_ban,pct_popu_tre,array_visit,ndvi
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8815000000000001,0.0024,0.0166,0.0877,0,0,0.0024,0.0095,0,0,0,0.9976,LU1_2022,0.7489652777777778
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8815000000000001,0.0024,0.0166,0.0877,0,0,0.0024,0.0095,0,0,0,0.9976,LU1_2022,0.7467291666666668
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,200,0.061214743126559966,0.061214743126559966,0.061214743126559966,0,0,0,0,0,0,0,0,0,0,0,0.0274730408076657,0.03116244027427144,0,0,0,0,0,0,0,0,0.00257926204462283,0.00257926204462283,0,0,0,0,0,0,0,0,0,0,0,4.92569306622508e-7,0.8751648638670338,0.00330894303168813,0.02408590819832022,0.0850430388244703,2.162672344821708e-4,0,0.00249324701962599,0.00978773134754567,0,7.386155430380106e-7,1.8024317318810069e-7,0.997332318037356,LU1_2022,0.7467291666666668
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,250,0.11538415595014252,0.12297401025455537,0.12297401025455537,0,0,0,0,0,0,0,0,0,0,0,0.04388803189027734,0.03037958715888238,0,0.0085264350104324,0,0,0,0,0.00758985430441285,0.01136538170837422,0.02122472018217619,0.03259010189055041,0,0,0,0,0,0,0,0,0,0,0,0.00174976893171749,0.8467509870034733,0.00780768101577655,0.04205539913671342,0.08352010165168872,7.626043534259162e-4,0,0.0030331166484673,0.01616841631927226,0,0.0026238064619849002,6.402833070563549e-4,0.9913083861959064,LU1_2022,0.7484895833333334
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,300,0.1487849814142031,0.1718370163040067,0.1718370163040067,0,0,0,0,0,0,0,0,0,0,0,0.03535000017736969,0.02860359335135643,0,0.021902937375891732,0,0.00100893428577634,0.00100893428577634,0,0.02305203488980359,0.02968172084240243,0.03223779538140649,0.061919516223808924,0,0,0,0,0,0,0,0,0,0,0,0.00423916569044295,0.8033776858621617,0.01365608540099283,0.06476950463441654,0.0822566568787759,0.00141257548692176,0,0.00372831068319934,0.02500816060288402,0,0.00635669666456548,0.00155121455081068,0.975343131980324,LU1_2022,0.7489652777777778
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,400,0.133337057175664,0.16023029812561204,0.16023029812561204,0,0,0,0,0,0,0,0,0,0,0,0.01988437509975846,0.0220490684074122,0,0.02315492689349812,0,0.00212729258820202,0.00212729258820202,0,0.02689324094994806,0.02977697344461641,0.03634442074217679,0.06612139418679319,0,0,0,0,0,0,0,0,0,0,0,0.01295102982416491,0.7041248448057968,0.02739538817556668,0.09669379059870098,0.0975012770750482,0.00208551759086387,0,0.00547063489367273,0.05382205353243173,0,0.01942027608676811,0.00473909900632559,0.9387931582642206,LU1_2022,0.7467291666666668
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,500,0.09434741487028897,0.11812463530084098,0.11812463530084098,0,0,0,0,0,0,0,0,0,0,0,0.01272600006384299,0.01642583926212519,0,0.01934640231973786,0,0.00223692247010776,0.00223692247010776,0,0.02377722043055201,0.01905726300455087,0.0245549877499243,0.04361225075447517,0,0,0,0,0,0,0,0,0,0,0,0.02610395667603843,0.5900698008850558,0.04843560619339059,0.11298021953378733,0.1341519458392563,0.00243962665598857,7.622147434985602e-4,0.00776005687375933,0.09515487662505324,0.00170390691039318,0.04021495554252041,0.01026004351503695,0.9009825665428284,LU1_2022,0.7448333333333333
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,750,0.08494558078839357,0.10599190707827211,0.10599190707827211,0,0,0,0,0,0,0,0,0,0,0,0.00772538311372938,0.02381228500243851,0,0.01492206757728748,0,0.0036116945178401,0.0036116945178401,0,0.02104632628987854,0.0128811691449265,0.0219929814321716,0.0348741505770981,0,0,0,0,0,0,0,0,0,0,0,0.03265470478356489,0.4780849130366394,0.08121406598500326,0.1288943079793031,0.16858368123965917,0.00266069788739748,0.00161474267393991,0.01230454396131347,0.12202812220132218,0.01472186297437069,0.05493400467215637,0.01752150582407019,0.8640550218156827,LU1_2022,0.7415640151515152
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,1000,0.0767178391644961,0.09375404309512345,0.09375404309512345,0,0,0,2.517121608714557e-5,2.517121608714557e-5,0,2.517121608714557e-5,0,0,2.517121608714557e-5,0,0.00857983074123962,0.02295883698691566,0,0.01146340391385509,0,0.00432539214263097,0.00432539214263097,0,0.01703620393062736,0.00770674312233674,0.02168363225751802,0.02939037537985476,0,0,0,0,0,0,0,0,0,0,0,0.03493483300792285,0.4478961891126914,0.10002795374653964,0.12549375075176658,0.1730697968681503,0.00272617071069127,0.0019871847074479,0.01833267021915128,0.12738038084829215,0.0203264741330329,0.05475325580243646,0.02644916416085551,0.8490977031833825,LU1_2022,0.7359910984848483
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,1250,0.09685710111316552,0.11193343258951571,0.11193343258951571,0,0,0,0.00546818774003441,0.00546818774003441,0,0.00546818774003441,0,0,0.00546818774003441,0,0.03204779687750216,0.02112553258696274,0,0.009950581916365265,0,0.00388425714256263,0.00388425714256263,0,0.0150763314763502,0.0079423582774677,0.02190657431230503,0.029848932589772732,0,0,0,0,0,0,0,0,0,0,0,0.03668673610546996,0.44349889453703334,0.09987559093889214,0.135308086425747,0.16452707588570337,0.0025988744920884,0.00187167679938912,0.0194878268941774,0.12564300051257435,0.02056365842845678,0.05662990010675826,0.0254352882681866,0.8433003894051552,LU1_2022,0.7372278645833333
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,1500,0.08751184486220998,0.1010420430091853,0.1010420430091853,0,0,0,0.0089789852204159,0.0089789852204159,0,0.0089789852204159,0,0,0.0089789852204159,0,0.02709566996489926,0.02001360458650937,0,0.008527469048616614,0,0.00452154398651154,0.00452154398651154,0,0.01353019814697533,0.0077369254171544295,0.01961663185851877,0.0273535572756732,0,0,0,0,0,0,0,0,0,0,0,0.04158650700392791,0.41911599315228415,0.11287019775110751,0.13785753423590405,0.1739746124180101,0.00225315859603959,0.00145049572220162,0.01650605061520443,0.12933910967225123,0.02803736585885788,0.06788273738373549,0.02356022026687977,0.809705411504524,LU1_2022,0.7402679583333335
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,1750,0.0753066108511496,0.08719027563811521,0.08719027563811521,0,0,0,0.00659680546806109,0.00659680546806109,0,0.00659680546806109,0,0,0.00659680546806109,0,0.019907022831355863,0.01830608364222823,0,0.007690936221146244,0,0.00518950921572549,0.00518950921572549,0,0.0118836647869656,0.007224095276355079,0.01698896366433869,0.024213058940693772,0,0,0,0,0,0,0,0,0,0,0,0.0477344657346749,0.4142390883676395,0.12303743609577251,0.12541832227201963,0.17748366129703633,0.0018970988799605,0.00106567032651544,0.01445189516855023,0.13750099296413204,0.03148620675602586,0.07779633560858398,0.02042574877532772,0.7971707687779223,LU1_2022,0.7416654947916667
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,2000,0.07213074535254439,0.0842029893447345,0.0842029893447345,0,0,0,0.0050506791864837804,0.0050506791864837804,0,0.0050506791864837804,0,0,0.0050506791864837804,0,0.01528539115317934,0.01750529913408035,0,0.008143205904052427,0,0.00576904528122442,0.00576904528122442,0,0.0120722439921901,0.01008793800070822,0.01533986587929963,0.02542780388000785,0,0,0,6.400563875718951e-5,6.400563875718951e-5,0,0,6.400563875718951e-5,0,0,6.400563875718951e-5,0.05184953611036477,0.4178047834613138,0.121146537598212,0.12317314564565215,0.17395444158480983,0.00154858501942959,8.159038437383485e-4,0.01280943467412101,0.14427879440260843,0.03087497668194723,0.07792177388168033,0.0176167590454088,0.8000871118807633,LU1_2022,0.7427978693181817
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,2250,0.07163716045919628,0.08315598119762363,0.08315598119762363,0,0,0,0.00399066009796231,0.00399066009796231,0,0.00399066009796231,0,0,0.00399066009796231,0,0.012140520087731688,0.01799470019795673,0,0.007791445643233349,0,0.0067040650971611,0.0067040650971611,1.8126170198790227e-4,0.01151882073842734,0.01171393667594035,0.01511123105518517,0.02682516773112552,0,0,0,4.692112658509215e-4,4.692112658509215e-4,0,0,4.692112658509215e-4,0,0,4.692112658509215e-4,0.05457149191464088,0.4328392475453962,0.11611989028556167,0.1208792966556146,0.16341570584085272,0.00124443510496923,6.446647654228813e-4,0.01155651032988823,0.1478740271934346,0.02888472457903915,0.0776347412901072,0.01467615719454826,0.7987018283822661,LU1_2022,0.7434814814814813
LU1,LU1_10,2022,2022-06-17,2022-12-05,54.58592,-110.60129,525766.8107989627,6048787.659593273,2500,0.07194812674610929,0.08312644895828813,0.08312644895828813,0,0,0,0.00323243467934943,0.00323243467934943,0.00160666011383163,0.00483909479318106,0.00160666011383163,0,0.00483909479318106,0,0.010531589915206857,0.01766437487657882,0,0.0076915016523313295,0,0.0068592116917633,0.0068592116917633,4.539856270366351e-4,0.01117832221217885,0.01439505522281505,0.01435240776037729,0.02874746298319234,0,0,0,3.8006112533923585e-4,3.8006112533923585e-4,0,0,3.8006112533923585e-4,0,0,3.8006112533923585e-4,0.0554587889233227,0.4374909213768049,0.11624974444958136,0.12110284916482016,0.15604340834338587,0.00102096279277078,5.221784599925192e-4,0.01100432952570654,0.1493659567464431,0.02721399632571302,0.081566991578291545,0.01406562288116718,0.7928347965253548,LU1_2022,0.742566172839506
