array,site,week,species,presence,detections,month,year
LU2,LU2_100,2021-08-29T00:00:00Z,coyote,1,1,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,fisher,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,grey wolf,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,lynx,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,moose,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,red fox,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,red squirrel,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,snowshoe hare,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,white-tailed deer,0,0,8,2021
LU2,LU2_100,2021-08-29T00:00:00Z,wolverine,0,0,8,2021
LU2,LU2_100,2021-09-05T00:00:00Z,black bear,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,caribou,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,cougar,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,coyote,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,fisher,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,grey wolf,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,lynx,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,moose,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,red fox,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,red squirrel,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,snowshoe hare,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,white-tailed deer,0,0,9,2021
LU2,LU2_100,2021-09-05T00:00:00Z,wolverine,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,black bear,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,caribou,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,cougar,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,coyote,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,fisher,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,grey wolf,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,lynx,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,moose,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,red fox,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,red squirrel,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,snowshoe hare,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,white-tailed deer,0,0,9,2021
LU2,LU2_100,2021-09-12T00:00:00Z,wolverine,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,black bear,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,caribou,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,cougar,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,coyote,1,1,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,fisher,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,grey wolf,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,lynx,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,moose,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,red fox,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,red squirrel,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,snowshoe hare,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,white-tailed deer,0,0,9,2021
LU2,LU2_100,2021-09-19T00:00:00Z,wolverine,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,black bear,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,caribou,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,cougar,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,coyote,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,fisher,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,grey wolf,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,lynx,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,moose,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,red fox,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,red squirrel,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,snowshoe hare,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,white-tailed deer,0,0,9,2021
LU2,LU2_100,2021-09-26T00:00:00Z,wolverine,0,0,9,2021
LU2,LU2_100,2021-10-03T00:00:00Z,black bear,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,caribou,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,cougar,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,coyote,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,fisher,1,1,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,grey wolf,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,lynx,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,moose,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,red fox,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,red squirrel,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,snowshoe hare,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,white-tailed deer,0,0,10,2021
LU2,LU2_100,2021-10-03T00:00:00Z,wolverine,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,black bear,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,caribou,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,cougar,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,coyote,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,fisher,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,grey wolf,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,lynx,1,1,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,moose,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,red fox,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,red squirrel,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,snowshoe hare,0,0,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,white-tailed deer,1,1,10,2021
LU2,LU2_100,2021-10-10T00:00:00Z,wolverine,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,black bear,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,caribou,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,cougar,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,coyote,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,fisher,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,grey wolf,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,lynx,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,moose,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,red fox,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,red squirrel,1,1,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,snowshoe hare,0,0,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,white-tailed deer,1,1,10,2021
LU2,LU2_100,2021-10-17T00:00:00Z,wolverine,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,black bear,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,caribou,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,cougar,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,coyote,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,fisher,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,grey wolf,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,lynx,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,moose,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,red fox,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,red squirrel,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,snowshoe hare,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,white-tailed deer,0,0,10,2021
LU2,LU2_100,2021-10-24T00:00:00Z,wolverine,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,black bear,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,caribou,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,cougar,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,coyote,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,fisher,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,grey wolf,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,lynx,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,moose,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,red fox,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,red squirrel,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,snowshoe hare,0,0,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,white-tailed deer,1,1,10,2021
LU2,LU2_100,2021-10-31T00:00:00Z,wolverine,0,0,10,2021
LU2,LU2_100,2021-11-07T00:00:00Z,black bear,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,caribou,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,cougar,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,coyote,1,1,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,fisher,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,grey wolf,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,lynx,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,moose,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,red fox,1,1,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,red squirrel,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,snowshoe hare,0,0,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,white-tailed deer,1,1,11,2021
LU2,LU2_100,2021-11-07T00:00:00Z,wolverine,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,black bear,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,caribou,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,cougar,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,coyote,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,fisher,1,1,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,grey wolf,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,lynx,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,moose,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,red fox,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,red squirrel,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,snowshoe hare,0,0,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,white-tailed deer,1,3,11,2021
LU2,LU2_100,2021-11-14T00:00:00Z,wolverine,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,black bear,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,caribou,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,cougar,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,coyote,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,fisher,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,grey wolf,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,lynx,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,moose,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,red fox,1,1,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,red squirrel,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,snowshoe hare,0,0,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,white-tailed deer,1,4,11,2021
LU2,LU2_100,2021-11-21T00:00:00Z,wolverine,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,black bear,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,caribou,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,cougar,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,coyote,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,fisher,1,1,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,grey wolf,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,lynx,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,moose,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,red fox,1,2,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,red squirrel,1,1,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,snowshoe hare,0,0,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,white-tailed deer,1,1,11,2021
LU2,LU2_100,2021-11-28T00:00:00Z,wolverine,0,0,11,2021
LU2,LU2_100,2021-12-05T00:00:00Z,black bear,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,caribou,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,cougar,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,coyote,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,fisher,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,grey wolf,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,lynx,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,moose,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,red fox,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,red squirrel,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,snowshoe hare,0,0,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,white-tailed deer,1,2,12,2021
LU2,LU2_100,2021-12-05T00:00:00Z,wolverine,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,black bear,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,caribou,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,cougar,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,coyote,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,fisher,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,grey wolf,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,lynx,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,moose,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,red fox,1,1,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,red squirrel,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,snowshoe hare,0,0,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,white-tailed deer,1,3,12,2021
LU2,LU2_100,2021-12-12T00:00:00Z,wolverine,0,0,12,2021
