array,site,long,lat,easting_12n,northing_12n,start_date,end_date,camera_failure_details,deployment_id,array_visit
LU2,LU2_50,-111.49719000000002,54.97719,468177.58155682636,6092366.2225644095,2021-07-13,2022-09-10,NA,NA,LU2_2021
LU2,LU2_51,-111.47964,54.99653000000001,469315.607925073,6094510.486454813,2021-07-13,2022-09-10,NA,NA,LU2_2021
LU2,LU2_52,-111.40199000000001,54.99463,474281.92770205694,6094267.7521530315,2021-07-14,2022-09-09,NA,NA,LU2_2021
LU2,LU2_54,-111.41174000000001,55.003310000000006,473663.8424467024,6095237.273446027,2021-07-14,2022-09-09,NA,NA,LU2_2021
LU2,LU2_56,-111.39808,55.01672,474546.06718953233,6096724.45673433,2021-07-14,2022-09-10,NA,NA,LU2_2021
LU2,LU2_57,-111.39145,55.04159,474985.4928656691,6099489.563561463,2021-07-14,2022-09-10,NA,NA,LU2_2021
LU3,LU3_5,-110.86127,55.34055,508799.029886293,6132697.312765524,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_7,-110.75082,55.40634,515778.1710184562,6140038.291056751,2021-07-09,2022-06-11,NA,NA,LU3_2021
LU3,LU3_10,-110.78266,55.43207,513753.1111679702,6142894.933676382,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_102,-110.85629,55.33055,509117.18482819793,6131585.102715841,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_103,-110.8249,55.33152,511108.34170375566,6131697.6057975795,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_106,-111.09341,55.36141,494078.52944178076,6135013.936368762,2021-07-11,NA,"CAMERA NOT RETRIEVED. Camera site is now a cutblock, camera was cut down.",NA,LU3_2021
LU3,LU3_111,-111.1192,55.398630000000004,492450.73542144016,6139158.49304738,2021-07-11,2022-02-04,NA,NA,LU3_2021
LU3,LU3_126,-110.77241799999999,55.55315,514357.1105510331,6156371.72381252,2021-07-09,2022-06-11,NA,NA,LU3_2021
LU3,LU3_129,-110.82374999999999,55.57962,511111.3389484834,6159308.137924508,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_13,-111.11472,55.50208,492753.45177435863,6150670.675934829,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_131,-110.79513,55.332390000000004,512996.6627579125,6131799.574156738,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_137,-111.19794,55.42564,487472.46878421615,6142175.697127149,2021-07-11,2022-02-03,NA,NA,LU3_2021
LU3,LU3_14,-111.09364000000001,55.50061,494084.796825925,6150505.086960996,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_147,-110.84415000000001,55.53844,509835.5425435173,6154722.177849479,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_15,-110.79516000000001,55.4944,512941.6932385247,6149829.068270007,2021-07-10,2022-06-11,NA,NA,LU3_2021
LU3,LU3_17,-110.85302999999999,55.51204,509281.3475851985,6151782.940232315,2021-07-10,2022-06-11,NA,NA,LU3_2021
LU3,LU3_18,-111.11632999999999,55.537310000000005,492658.31441975443,6154591.537174502,2021-07-11,2022-06-12,NA,NA,LU3_2021
LU3,LU3_19,-111.07001,55.52431000000001,495580.1510309342,6153140.864593251,2021-07-08,2022-06-11,NA,NA,LU3_2021
LU3,LU3_20,-111.04119000000001,55.526700000000005,497399.76355040894,6153405.388919049,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_21,-110.91676000000001,55.523540000000004,505255.18354025524,6153056.093214652,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_25,-110.90796000000002,55.54139,505808.122084191,6155043.297382094,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_27,-110.96253,55.5513,502363.9246339349,6156142.962497661,2021-07-10,2022-02-03,NA,NA,LU3_2021
LU3,LU3_28,-110.88772999999999,55.55154399999999,507082.8961920753,6156175.20210105,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_32,-111.20451000000001,55.40952,487051.38526526967,6140382.962538892,2021-07-08,2022-02-03,NA,NA,LU3_2021
LU3,LU3_36,-111.22414,55.44785999999999,485822.25189025747,6144653.516965243,2021-07-10,2022-02-04,NA,NA,LU3_2021
LU3,LU3_38,-110.76387,55.44705999999999,514936.46408868744,6144566.99640336,2021-07-09,2022-02-02,NA,NA,LU3_2021
LU3,LU3_39,-111.23818,55.46641,484941.23648513545,6146720.842725276,2021-07-10,2022-02-04,NA,NA,LU3_2021
