array,site,buffer_dist,array_visit,ndvi
LU2,LU2_3,50,LU2_2021,0.7650729166666668
LU2,LU2_5,50,LU2_2021,0.7789229166666667
LU2,LU2_100,50,LU2_2021,0.7067395833333333
LU2,LU2_101,50,LU2_2021,0.7796833333333334
LU2,LU2_106,50,LU2_2021,0.7063125
LU2,LU2_110,50,LU2_2021,0.7737770833333334
LU2,LU2_119,50,LU2_2021,0.772821875
LU2,LU2_123,50,LU2_2021,0.77351875
LU2,LU2_13,50,LU2_2021,0.7528250000000001
LU2,LU2_137,50,LU2_2021,0.7557354166666668
LU2,LU2_143,50,LU2_2021,0.7702197916666667
LU2,LU2_15,50,LU2_2021,0.7677114583333333
LU2,LU2_153,50,LU2_2021,0.7720583333333333
LU2,LU2_155,50,LU2_2021,0.7592958333333334
LU2,LU2_17,50,LU2_2021,0.7317
LU2,LU2_18,50,LU2_2021,0.77044375
LU2,LU2_20,50,LU2_2021,0.7719729166666668
LU2,LU2_21,50,LU2_2021,0.7272104166666666
LU2,LU2_24,50,LU2_2021,0.735365625
LU2,LU2_25,50,LU2_2021,0.7741229166666668
LU2,LU2_26,50,LU2_2021,0.7570953125
LU2,LU2_27,50,LU2_2021,0.7397677083333334
LU2,LU2_29,50,LU2_2021,0.7327864583333333
LU2,LU2_30,50,LU2_2021,0.74021875
LU2,LU2_31,50,LU2_2021,0.7712125000000001
LU2,LU2_32,50,LU2_2021,0.7605270833333333
LU2,LU2_33,50,LU2_2021,0.7793083333333334
LU2,LU2_34,50,LU2_2021,0.7777333333333334
LU2,LU2_36,50,LU2_2021,0.7820166666666667
LU2,LU2_38,50,LU2_2021,0.7447489583333333
LU2,LU2_39,50,LU2_2021,0.7824062500000001
LU2,LU2_40,50,LU2_2021,0.74210625
LU2,LU2_42,50,LU2_2021,0.7896302083333333
LU2,LU2_44,50,LU2_2021,0.7550270833333332
LU2,LU2_46,50,LU2_2021,0.7596145833333333
LU2,LU2_47,50,LU2_2021,0.7768229166666667
LU2,LU2_50,50,LU2_2021,0.782709375
LU2,LU2_51,50,LU2_2021,0.7649541666666667
LU2,LU2_52,50,LU2_2021,0.7564239583333334
LU2,LU2_54,50,LU2_2021,0.7729270833333334
LU2,LU2_56,50,LU2_2021,0.7857895833333334
LU2,LU2_57,50,LU2_2021,0.7552791666666667
LU3,LU3_5,50,LU3_2021,0.6791979166666667
LU3,LU3_7,50,LU3_2021,0.67805
LU3,LU3_10,50,LU3_2021,0.7043145833333333
LU3,LU3_102,50,LU3_2021,0.7148770833333333
LU3,LU3_103,50,LU3_2021,0.7273572916666667
LU3,LU3_106,50,LU3_2021,0.6349833333333333
LU3,LU3_111,50,LU3_2021,0.7094333333333334
LU3,LU3_126,50,LU3_2021,0.713825
LU3,LU3_129,50,LU3_2021,0.5939875
LU3,LU3_13,50,LU3_2021,0.6903020833333333
LU3,LU3_131,50,LU3_2021,0.7321479166666668
LU3,LU3_137,50,LU3_2021,0.6520776041666667
LU3,LU3_14,50,LU3_2021,0.6736166666666668
LU3,LU3_147,50,LU3_2021,0.6622645833333334
LU3,LU3_15,50,LU3_2021,0.7247625000000001
LU3,LU3_17,50,LU3_2021,0.6954958333333333
LU3,LU3_18,50,LU3_2021,0.6850083333333334
LU3,LU3_19,50,LU3_2021,0.6033000000000001
LU3,LU3_20,50,LU3_2021,0.6414885416666667
LU3,LU3_21,50,LU3_2021,0.7401208333333333
LU3,LU3_25,50,LU3_2021,0.62613125
LU3,LU3_27,50,LU3_2021,0.672425
LU3,LU3_28,50,LU3_2021,0.6967239583333333
LU3,LU3_32,50,LU3_2021,0.6976479166666667
LU3,LU3_36,50,LU3_2021,0.6991406250000001
LU3,LU3_38,50,LU3_2021,0.7047604166666668
LU3,LU3_39,50,LU3_2021,0.5478901041666666
LU3,LU3_40,50,LU3_2021,0.6239635416666667
LU3,LU3_41,50,LU3_2021,0.6930255208333334
LU3,LU3_44,50,LU3_2021,0.65695625
LU3,LU3_45,50,LU3_2021,0.7156895833333333
LU3,LU3_46,50,LU3_2021,0.7344625
LU3,LU3_48,50,LU3_2021,0.6761479166666667
LU3,LU3_50,50,LU3_2021,0.6419020833333333
LU3,LU3_51,50,LU3_2021,0.6496000000000001
LU3,LU3_52,50,LU3_2021,0.6287041666666667
